 Ed: 0, train_loss: 1.68796, acc: 0.10938
 Ed: 640, train_loss: 1.58878, acc: 0.51847
 Ed: 1280, train_loss: 1.47376, acc: 0.51711
 Ed: 1920, train_loss: 1.39159, acc: 0.53730
 Ed: 2560, train_loss: 1.34365, acc: 0.55564
 Ed: 3200, train_loss: 1.31628, acc: 0.55729
 Ed: 3840, train_loss: 1.27930, acc: 0.56737
 Ed: 4480, train_loss: 1.27204, acc: 0.56778
 Ed: 5120, train_loss: 1.25878, acc: 0.57215
 Ed: 5760, train_loss: 1.23688, acc: 0.57916
 Ed: 6400, train_loss: 1.22619, acc: 0.58168
 Ed: 7040, train_loss: 1.21600, acc: 0.58502
 Ed: 7680, train_loss: 1.20365, acc: 0.58858
 Ed: 8320, train_loss: 1.19013, acc: 0.59256
 Ed: 8960, train_loss: 1.19221, acc: 0.58799
 Ed: 9600, train_loss: 1.18257, acc: 0.59085
 Ed: 10240, train_loss: 1.17851, acc: 0.59094
 Ed: 10880, train_loss: 1.17278, acc: 0.59101
 Ed: 11520, train_loss: 1.16712, acc: 0.59228
 Ed: 12160, train_loss: 1.15905, acc: 0.59334
 Ed: 12800, train_loss: 1.15350, acc: 0.59398
 Ed: 13440, train_loss: 1.14793, acc: 0.59493
 Ed: 14080, train_loss: 1.14342, acc: 0.59545
 Ed: 14720, train_loss: 1.13705, acc: 0.59700
 Ed: 15360, train_loss: 1.13001, acc: 0.59920
 Ed: 16000, train_loss: 1.12347, acc: 0.60097
 Ed: 16640, train_loss: 1.12111, acc: 0.60075
 Ed: 17280, train_loss: 1.11611, acc: 0.60055
 Ed: 17920, train_loss: 1.11427, acc: 0.60098
 Ed: 18560, train_loss: 1.11315, acc: 0.60035
 Ed: 19200, train_loss: 1.10810, acc: 0.60148
 Ed: 19840, train_loss: 1.10485, acc: 0.60194
 Ed: 20480, train_loss: 1.10325, acc: 0.60144
 Ed: 21120, train_loss: 1.10100, acc: 0.60126
 Ed: 21760, train_loss: 1.09780, acc: 0.60172
 Ed: 22400, train_loss: 1.09262, acc: 0.60319
 Ed: 23040, train_loss: 1.09124, acc: 0.60353
 Ed: 23680, train_loss: 1.08972, acc: 0.60314
 Ed: 24320, train_loss: 1.08896, acc: 0.60244
 Ed: 24960, train_loss: 1.08701, acc: 0.60298
 Ed: 25600, train_loss: 1.08532, acc: 0.60279
 Ed: 26240, train_loss: 1.08264, acc: 0.60363
 Ed: 26880, train_loss: 1.07932, acc: 0.60485
 Ed: 27520, train_loss: 1.07785, acc: 0.60441
 Ed: 28160, train_loss: 1.07512, acc: 0.60495
 Ed: 28800, train_loss: 1.07216, acc: 0.60560
 Ed: 29440, train_loss: 1.07101, acc: 0.60521
 Ed: 30080, train_loss: 1.06889, acc: 0.60573
 Ed: 30720, train_loss: 1.06667, acc: 0.60609
 Ed: 31360, train_loss: 1.06577, acc: 0.60600
 Ed: 32000, train_loss: 1.06413, acc: 0.60588
 Ed: 32640, train_loss: 1.06108, acc: 0.60644
 Ed: 33280, train_loss: 1.05902, acc: 0.60698
 Ed: 33920, train_loss: 1.05732, acc: 0.60734
 Ed: 34560, train_loss: 1.05489, acc: 0.60834
 Ed: 35200, train_loss: 1.05280, acc: 0.60864
 Ed: 35840, train_loss: 1.05114, acc: 0.60871
 Ed: 36480, train_loss: 1.05010, acc: 0.60866
 Ed: 37120, train_loss: 1.04802, acc: 0.60924
 Ed: 37760, train_loss: 1.04629, acc: 0.60969
 Ed: 38400, train_loss: 1.04419, acc: 0.61065
 Ed: 39040, train_loss: 1.04333, acc: 0.61137
 Ed: 39680, train_loss: 1.04093, acc: 0.61227
accuracy: 
0.636
macrof: 
0.3801
 Ed: 0, train_loss: 0.85675, acc: 0.67188
 Ed: 640, train_loss: 0.93401, acc: 0.64915
 Ed: 1280, train_loss: 0.90546, acc: 0.64286
 Ed: 1920, train_loss: 0.90489, acc: 0.64214
 Ed: 2560, train_loss: 0.90242, acc: 0.64139
 Ed: 3200, train_loss: 0.89857, acc: 0.64583
 Ed: 3840, train_loss: 0.90288, acc: 0.64472
 Ed: 4480, train_loss: 0.89553, acc: 0.64921
 Ed: 5120, train_loss: 0.88801, acc: 0.65432
 Ed: 5760, train_loss: 0.88880, acc: 0.65608
 Ed: 6400, train_loss: 0.88520, acc: 0.65718
 Ed: 7040, train_loss: 0.88613, acc: 0.65512
 Ed: 7680, train_loss: 0.88572, acc: 0.65483
 Ed: 8320, train_loss: 0.88821, acc: 0.65434
 Ed: 8960, train_loss: 0.88739, acc: 0.65592
 Ed: 9600, train_loss: 0.88512, acc: 0.65573
 Ed: 10240, train_loss: 0.88396, acc: 0.65771
 Ed: 10880, train_loss: 0.88409, acc: 0.65735
 Ed: 11520, train_loss: 0.88446, acc: 0.65668
 Ed: 12160, train_loss: 0.88331, acc: 0.65723
 Ed: 12800, train_loss: 0.88383, acc: 0.65648
 Ed: 13440, train_loss: 0.88291, acc: 0.65677
 Ed: 14080, train_loss: 0.88108, acc: 0.65802
 Ed: 14720, train_loss: 0.87913, acc: 0.65902
 Ed: 15360, train_loss: 0.87962, acc: 0.65891
 Ed: 16000, train_loss: 0.87861, acc: 0.65992
 Ed: 16640, train_loss: 0.87683, acc: 0.66092
 Ed: 17280, train_loss: 0.87328, acc: 0.66253
 Ed: 17920, train_loss: 0.87284, acc: 0.66270
 Ed: 18560, train_loss: 0.87406, acc: 0.66178
 Ed: 19200, train_loss: 0.87535, acc: 0.66082
 Ed: 19840, train_loss: 0.87516, acc: 0.66002
 Ed: 20480, train_loss: 0.87218, acc: 0.66165
 Ed: 21120, train_loss: 0.87090, acc: 0.66234
 Ed: 21760, train_loss: 0.87109, acc: 0.66239
 Ed: 22400, train_loss: 0.87087, acc: 0.66262
 Ed: 23040, train_loss: 0.87071, acc: 0.66318
 Ed: 23680, train_loss: 0.87104, acc: 0.66303
 Ed: 24320, train_loss: 0.87059, acc: 0.66310
