 Ed: 0, train_loss: 1.70751, acc: 0.14062
 Ed: 640, train_loss: 2.10192, acc: 0.21307
 Ed: 1280, train_loss: 1.90711, acc: 0.22470
 Ed: 1920, train_loss: 1.82726, acc: 0.23589
 Ed: 2560, train_loss: 1.79183, acc: 0.23857
 Ed: 3200, train_loss: 1.75659, acc: 0.23958
 Ed: 3840, train_loss: 1.72817, acc: 0.24103
 Ed: 4480, train_loss: 1.70498, acc: 0.24582
 Ed: 5120, train_loss: 1.68443, acc: 0.25116
 Ed: 5760, train_loss: 1.66529, acc: 0.25738
 Ed: 6400, train_loss: 1.65507, acc: 0.26176
 Ed: 7040, train_loss: 1.64411, acc: 0.26422
 Ed: 7680, train_loss: 1.63216, acc: 0.26847
 Ed: 8320, train_loss: 1.62956, acc: 0.27052
 Ed: 8960, train_loss: 1.62382, acc: 0.27360
 Ed: 9600, train_loss: 1.62096, acc: 0.27432
 Ed: 10240, train_loss: 1.61144, acc: 0.27902
 Ed: 10880, train_loss: 1.60166, acc: 0.28618
 Ed: 11520, train_loss: 1.59201, acc: 0.29118
 Ed: 12160, train_loss: 1.58715, acc: 0.29303
 Ed: 12800, train_loss: 1.58030, acc: 0.29509
 Ed: 13440, train_loss: 1.57299, acc: 0.29895
 Ed: 14080, train_loss: 1.56735, acc: 0.30204
 Ed: 14720, train_loss: 1.55961, acc: 0.30499
 Ed: 15360, train_loss: 1.55164, acc: 0.30822
 Ed: 16000, train_loss: 1.54656, acc: 0.31032
 Ed: 16640, train_loss: 1.54106, acc: 0.31262
 Ed: 17280, train_loss: 1.53323, acc: 0.31648
 Ed: 17920, train_loss: 1.52754, acc: 0.32001
 Ed: 18560, train_loss: 1.52213, acc: 0.32206
 Ed: 19200, train_loss: 1.51742, acc: 0.32428
 Ed: 19840, train_loss: 1.51104, acc: 0.32722
 Ed: 20480, train_loss: 1.50480, acc: 0.33090
 Ed: 21120, train_loss: 1.50000, acc: 0.33322
 Ed: 21760, train_loss: 1.49413, acc: 0.33610
 Ed: 22400, train_loss: 1.49067, acc: 0.33752
 Ed: 23040, train_loss: 1.48558, acc: 0.34037
 Ed: 23680, train_loss: 1.48162, acc: 0.34232
 Ed: 24320, train_loss: 1.47715, acc: 0.34432
 Ed: 24960, train_loss: 1.47469, acc: 0.34555
